,Unnamed: 0,Produk,Ulasan,Perusahaan,Ulasan_preprocessed,label_sentiment
0,0,PUPUK CAIR LIQUINOX START B1 ORIGINAL 470ml,"Udah ke sekian kali order ditoko ini biasanya order pupuk vegetatif/generatif, sekarang vitamin. Pelayanan sangat baik, amanah dan cepat pengirimannya",Netafarm,sekian kali order toko order pupuk vegetatifgeneratif vitamin layan baik amanah cepat kirim,1
1,1,Pupuk NPK PAK TANI Mutiara Biru 16-16-16 Penyubur Tanaman 1 KG Kalium Padi,Sesuai pesanan moga jadi langganan terus cepet lagi dah redi,Netafarm,sesuai pesan moga langgan cepat deh redi,1
2,2,Pupuk Meroke SOP - Kemasan 1 kg,Sampai tepat waktu wlw beli nya jauh toko nya amanah Kurir langganan sukses selalu,Netafarm,wlw beli nya toko nya amanah kurir langgan sukses,1
3,3,TDS Meter Digital - Alat Ukur PPM Air & Hidroponik,Belum mampu ukur air asin akuarium,Netafarm,ukur air asin akuarium,0
4,4,Tray Semai 288 Lubang Traypot Pot Bibit Biji Tray Nampan Hidroponik,Sesuai pesanan,Netafarm,sesuai pesan,1
5,5,Liquinox Thailand T-rex Start B1 VRL 500ml,"Baru mau nyoba, saran dr bbrp teman sich katanya bagus...smoga bagus beneran",Netafarm,nyoba saran bbrp teman sich bagus moga bagus beneran,1
6,6,Pupuk MEROKE Mutiara Grower NPK - 1 kg Kemasan Original Pabrik,Sesuai dg apk,Netafarm,sesuai aplikasi,1
7,7,Pestisida Insektisida LANNATE 25WP 15gram,Bagus,Netafarm,bagus,1
8,8,Impraboard Tutup Bak Baki Hidroponik 6 Lubang Sistem Wick,Pesanan sesuai dan pengiriman cepat,Netafarm,pesan sesuai kirim cepat,1
9,9,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",MANTAPPPPP,Netafarm,mantappppp,0
10,10,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",BAGUS,Netafarm,bagus,1
11,11,Pupuk Suplemen Sel Tanaman VITARON SL 500 ml,Baguss,Netafarm,baguss,0
12,12,Pupuk Meroke NPK Mutiara Professional 9-25-25 Kemasan Repacking 1kg,Bagus,Netafarm,bagus,1
13,13,Pupuk Meroke NPK Mutiara Professional 9-25-25 Kemasan Repacking 1kg,Bagus,Netafarm,bagus,1
14,14,Pupuk Fungisida Organik Tricoderma Gliocaldium ANFUSH - 500gr 1pcs,Bagus,Netafarm,bagus,1
15,15,Paket EM4 PERTANIAN 1 Liter + MOLASE 1kg Tanah Tanaman,Pengiriman CPT mantap,Netafarm,kirim cpt mantap,1
16,16,Netpot 5cm Hitam + Flanel Sumbu Hidroponik ( Set 100pcs ),Barang cepat sampai.. Pekingrapi,Netafarm,barang cepat pekingrapi,1
17,17,PUPUK MEROKE NPK Mutiara 16-16-16 - 1 kg,Mantap semoga awet,Netafarm,mantap moga awet,1
18,18,Pupuk NPK PAK TANI Mutiara Merah 16-16-16 Penyubur Tanaman 1 KG,Alhamdulillah sesuai,Netafarm,alhamdulillah sesuai,1
19,19,Pupuk NPK PAK TANI Mutiara Biru 16-16-16 Penyubur Tanaman 1 KG Kalium Padi,Mantap pengiriman jg cepet,Netafarm,mantap kirim cepat,1
20,20,PUPUK MEROKE MAG-S ( MgSO4 ) 1 kg,Mantap pengiriman jg cepet,Netafarm,mantap kirim cepat,1
21,21,Tray Semai 32 50 72 105 128 162 200 288 Lubang Tebal 1mm,mantab,Netafarm,mantab,1
22,22,Pemotong dan pelubang rockwool 18 lubang ( 17 x 10 x 4 cm ) Kayu Peralatan,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Netafarm,,0
23,23,Racun Tikus PETROKUM Umpan Pembasmi Hama Curut Rodentisida - 100 gram,Cepet banget datang nya rapi banget kemasannya murah moga tikus di rumah pd musnah,Netafarm,cepat banget nya rapi banget kemas murah moga tikus rumah musnah,1
24,24,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",Pengiriman cepat,Netafarm,kirim cepat,1
25,25,Pupuk NPK 25-07-07 YARAMILA FASTER Repacking 1kg,Pupuk sangat berkualitas,Netafarm,pupuk kualitas,0
26,26,Flanel Sumbu Hidroponik,"Bagus,sesuai",Netafarm,bagus sesuai,1
27,27,Pupuk Daun MEROKE - PROVIT MERAH 500gr,"Sudah basah , expired",Netafarm,basah expired,0
28,28,EM4 Tanaman Pertanian volume 1 liter,Bagus. Barang dtg dg aman.,Netafarm,bagus barang aman,1
29,29,TDS Meter Digital - Alat Ukur PPM Air & Hidroponik,"Barangnya bagus, sudah dicoba dan bisa digunakan... mantapp",Netafarm,barang bagus coba mantapp,1
30,30,Paket EM4 PERTANIAN 1 Liter + MOLASE 1kg Tanah Tanaman,Mantap,Netafarm,mantap,1
31,31,"Tray Semai 50 72 105 128 200 288 Lubang Tebal 0,7 mm - pcs",oi,Netafarm,oi,0
32,32,"Molase Tetes Tebu Murni untuk Peternakan, Perikanan dan pertanian - 1kg","Pengiriman cepat,packing aman 
Toko amanah",Netafarm,kirim cepat packing aman toko amanah,1
33,33,"Benih Biji Bibit Cabai Rawit ""MIDORA"" (RJHL 1193) Urban Farmer Seed - 1 Pcs",Sesuai pesanan datang dgn selamat 👍🏻,Netafarm,sesuai pesan selamat bagus,1
34,34,"Molase Tetes Tebu Murni untuk Peternakan, Perikanan dan pertanian - 1kg",Sesuai pesanan datang dgn selamat 👍🏻,Netafarm,sesuai pesan selamat bagus,1
35,35,Netpot 5cm Hitam + Flanel Sumbu Hidroponik ( Set 100pcs ),Barang sudah di terima dalam keadaan baik dan sesuai dengan pesanan 👍👍👍👍👍,Netafarm,barang terima baik sesuai pesan sangat bagus,1
36,36,Pasak Penusuk Pengikat Penjepit Plastik Mulsa 9 cm - 1 kg,Bagus,Netafarm,bagus,1
37,37,GUANO PHOSPHATE NPK 0-15-0 Pupuk Organik 500gr,Bagus,Netafarm,bagus,1
38,38,Cepuk Tempat Makan Mandi Hewan burung Oval ASENA - 1pc,"sesuai pesanan
semoga awet
..................................",Netafarm,sesuai pesan moga awet,1
39,39,Pupuk Meroke Mikro Fitoflex - Kemasan original 1 Dus ( 50 pcs ),"Performa: Ok
Kualitas pengerjaan: Ok",Netafarm,performa ok kualitas kerja ok,1
40,40,TDS Meter Digital - Alat Ukur PPM Air & Hidroponik,nice,Netafarm,nice,1
41,41,Pupuk Organik Cair - Jimmy Hantu Jagotani Hormon Pembuahan 250 ml,"Maunya pupuk untuk pertumbuhan, keliru untuk pembuahan",Netafarm,mau pupuk tumbuh keliru buah,2
42,42,OSMOCOTE 13 - 13 - 13 100gr (Pupuk Slow Release),Gak tau siapa yg oesan,Netafarm,oesan,0
43,43,Pupuk Meroke NPK Mutiara Professional 9-25-25 Kemasan Repacking 1kg,Bagus,Netafarm,bagus,1
44,44,Paket EM4 PERTANIAN 1 Liter + MOLASE 1kg Tanah Tanaman,Vvv,Netafarm,vvv,0
45,45,PUPUK MEROKE VITAFLEX - 500gr,Terimakasih,Netafarm,terimakasih,0
46,46,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",Terimakasih,Netafarm,terimakasih,0
47,47,Pupuk Meroke MAP - Kemasan 1kg,Terimakasih,Netafarm,terimakasih,0
48,48,"Molase Tetes Tebu Murni untuk Peternakan, Perikanan dan pertanian - 1kg",Ga full 1 botol yah😅 tapi keren sih pengemasan nya juga ajib,Netafarm,full 1 botol yah keren sih emas nya ajib,1
49,49,Rockwool CULTILENE 1/2 Slab 75x150x500mm,Mantap,Netafarm,mantap,1
50,50,Media tanam Hydroton Jerman - 1 Liter,Sesuai,Netafarm,sesuai,1
51,51,Netpot 5cm Hitam + Flanel Sumbu Hidroponik ( Set 100pcs ),Sesuai,Netafarm,sesuai,1
52,52,Fungisida DITHANE M-45 80wp Pembasmi Jamur Tanaman - Kemasan 200gr,.,Netafarm,,0
53,53,Weedmat NOGULMA Geotextile Mulsa Gulma Hitam 90 GSM 4x100m - 1 Meteran,Good,Netafarm,baik,1
54,54,"Rockwool Vegetation Mats SPELAND VEGA 2,5x2,5x2,5cm 24 potong -1pcs",Worth The Price,Netafarm,worth price,1
55,55,Pupuk AB Mix Cair NETAFARM - Sayuran Daun 100ml Stock A dan B Tanaman,Worth The Price,Netafarm,worth price,1
56,56,Netpot 5cm Putih + Flanel Sumbu Hidroponik ( Set 100pcs ),Worth The Price,Netafarm,worth price,1
57,57,Mata Gergaji Rockwool Hack Saw Blades Carbon Steel 300x12mm 18T - 1pcs,Worth The Price,Netafarm,worth price,1
58,58,Pupuk Nutrisi Hidroponik AB Mix NETAFARM - SAYUR DAUN 100 lt - PREMIUM,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,Netafarm,,0
59,59,Racun Tikus PETROKUM Umpan Pembasmi Hama Curut Rodentisida - 100 gram,"Barang sesuai, packing aman, pengiriman cepat semoga cocok",Netafarm,barang sesuai packing aman kirim cepat moga cocok,1
60,60,Fungisida ANTRACOL 70 WP - Kemasan 250gr,Sesuai,Netafarm,sesuai,1
61,61,Pupuk Kalsium + Asam Humat CAL-HA 1KG - 1pcs Tanah Tanaman Bunga,Mantap,Netafarm,mantap,1
62,62,Nutrisi Tanaman & Tanah Asam Humat Humic Acid POWERSOIL - 1kg,Mantap,Netafarm,mantap,1
63,63,Pupuk Meroke NPK Mutiara Professional 9-25-25 Kemasan Repacking 1kg,Bagus,Netafarm,bagus,1
64,64,Tapetool Hand Tying Machine Alat Pengikat Lanjaran Tanaman+Paket Refil,Kualitas produk: bagus,Netafarm,kualitas produk bagus,1
65,65,Pupuk Kapur Pertanian Dolomite Dolomit 1 KG Tanah Tanaman Benih,Sesuai dg pesanan. Terima kasih,Netafarm,sesuai pesan terima kasih,1
66,66,Paket EM4 PETERNAKAN 1 Liter + MOLASE 1kg,"Respon cepat, kurir ramah",Netafarm,respon cepat kurir ramah,1
67,67,Pupuk Mahkota Borate 46% - 1 kg,"Barang sesuai dengan orderan,,semoga bagus,mo coba buat pohon mangga",Netafarm,barang sesuai order moga bagus coba pohon mangga,1
68,68,Pupuk Meroke Boroni Kalsium Nitrat Kemasan Pabrik - 1 kg,Cepet satset,Netafarm,cepat satset,1
69,69,Flanel Sumbu Hidroponik,mantap untuk kaya janda,Netafarm,mantap kaya janda,1
70,70,Insektisida ABACEL 18ec Abamektin - 100ml,Alhamdulillah sesuai pesanan,Netafarm,alhamdulillah sesuai pesan,1
71,71,Tapetool Hand Tying Machine Alat Pengikat Lanjaran Tanaman+Paket Refil,"Lebih dari kata ekspektasi ini mah bagus banget , puas pokoknya rekomendasi , udah dapet pita 6 gulung , isi step les nya banyak banget barang nya oke mudah di mengerti c... ",Netafarm,ekspektasi mah bagus banget puas pokok rekomendasi pita 6 gulung isi step les nya banget barang nya oke mudah erti c,1
72,72,Paket EM4 PETERNAKAN 1 Liter + MOLASE 1kg,"Baru nyoba,mudah2an cocok",Netafarm,nyoba mudah2an cocok,1
73,73,Rockwool CULTILENE 1/4 Slab 75x150x250mm,pesanan sesuai,Netafarm,pesan sesuai,1
74,74,Pupuk NPK 15-9-20 Mutiara Grower MEROKE Repacking 1 kg,Manfaat,Netafarm,manfaat,1
75,75,Impraboard Tutup Bak Baki Hidroponik 9 Lubang Sistem Wick,Ok,Netafarm,ok,1
76,76,Pupuk AB Mix Cair NETAFARM - Sayuran Daun 100ml Stock A dan B Tanaman,Bagus,Netafarm,bagus,1
77,77,Netpot 5cm Hitam + Flanel,Ok,Netafarm,ok,1
78,78,"Rockwool Cultilene 2,5x2,5x2,5cm 18 potong SIAP PAKAI",Ok,Netafarm,ok,1
79,79,Pupuk Meroke Mikro Fitoflex - Kemasan original 1 Dus ( 50 pcs ),"Barang sesuai pesanan, packing rapu",Netafarm,barang sesuai pesan packing rapu,1
80,80,Pupuk Meroke SOP - Kemasan 1 kg,Paketannya sesuai expedisi,Netafarm,paket sesuai expedisi,1
