Unnamed: 0.1,Unnamed: 0,Produk,Ulasan,Perusahaan,Ulasan_preprocessed,label_sentiment,predicted_label_svm,predicted_label_log_reg,predicted_label_rf,predicted_label_nb,predicted_label_knn
22,22,Pemotong dan pelubang rockwool 18 lubang ( 17 x 10 x 4 cm ) Kayu Peralatan,👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,Netafarm,,0,1,1,0,1,1
0,0,PUPUK CAIR LIQUINOX START B1 ORIGINAL 470ml,"Udah ke sekian kali order ditoko ini biasanya order pupuk vegetatif/generatif, sekarang vitamin. Pelayanan sangat baik, amanah dan cepat pengirimannya",Netafarm,sekian kali order toko order pupuk vegetatifgeneratif vitamin layan baik amanah cepat kirim,1,1,1,1,1,1
49,49,Netpot 5cm Hitam + Flanel Sumbu Hidroponik ( Set 100pcs ),Sesuai,Netafarm,sesuai,1,1,1,1,1,1
4,4,Tray Semai 288 Lubang Traypot Pot Bibit Biji Tray Nampan Hidroponik,Sesuai pesanan,Netafarm,sesuai pesan,1,1,1,1,1,1
55,55,Netpot 5cm Putih + Flanel Sumbu Hidroponik ( Set 100pcs ),Worth The Price,Netafarm,worth price,1,1,1,1,1,1
18,18,Pupuk NPK PAK TANI Mutiara Merah 16-16-16 Penyubur Tanaman 1 KG,Alhamdulillah sesuai,Netafarm,alhamdulillah sesuai,1,1,1,1,1,1
10,10,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",BAGUS,Netafarm,bagus,1,1,1,1,1,1
33,33,"Benih Biji Bibit Cabai Rawit ""MIDORA"" (RJHL 1193) Urban Farmer Seed - 1 Pcs",Sesuai pesanan datang dgn selamat 👍🏻,Netafarm,sesuai pesan selamat bagus,1,1,1,1,1,1
46,46,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",Terimakasih,Netafarm,terimakasih,0,1,1,0,1,1
12,12,Pupuk Meroke NPK Mutiara Professional 9-25-25 Kemasan Repacking 1kg,Bagus,Netafarm,bagus,1,1,1,1,1,1
31,31,"Tray Semai 50 72 105 128 200 288 Lubang Tebal 0,7 mm - pcs",oi,Netafarm,oi,0,1,1,0,1,1
9,9,"Belerang Bubuk Halus Sulfur Powder Belerang Sulfur 99,8% - 500gr",MANTAPPPPP,Netafarm,mantappppp,0,1,1,0,1,1
61,61,Nutrisi Tanaman & Tanah Asam Humat Humic Acid POWERSOIL - 1kg,Mantap,Netafarm,mantap,1,1,1,1,1,1
5,5,Liquinox Thailand T-rex Start B1 VRL 500ml,"Baru mau nyoba, saran dr bbrp teman sich katanya bagus...smoga bagus beneran",Netafarm,nyoba saran bbrp teman sich bagus moga bagus beneran,1,1,1,1,1,1
53,53,Weedmat NOGULMA Geotextile Mulsa Gulma Hitam 90 GSM 4x100m - 1 Meteran,Good,Netafarm,baik,1,1,1,0,1,1
30,30,Paket EM4 PERTANIAN 1 Liter + MOLASE 1kg Tanah Tanaman,Mantap,Netafarm,mantap,1,1,1,1,1,1
59,59,Racun Tikus PETROKUM Umpan Pembasmi Hama Curut Rodentisida - 100 gram,"Barang sesuai, packing aman, pengiriman cepat semoga cocok",Netafarm,barang sesuai packing aman kirim cepat moga cocok,1,1,1,1,1,1
35,35,Netpot 5cm Hitam + Flanel Sumbu Hidroponik ( Set 100pcs ),Barang sudah di terima dalam keadaan baik dan sesuai dengan pesanan 👍👍👍👍👍,Netafarm,barang terima baik sesuai pesan sangat bagus,1,1,1,1,1,1
58,58,Pupuk Nutrisi Hidroponik AB Mix NETAFARM - SAYUR DAUN 100 lt - PREMIUM,👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼👍🏼,Netafarm,,0,1,1,0,1,1
42,42,OSMOCOTE 13 - 13 - 13 100gr (Pupuk Slow Release),Gak tau siapa yg oesan,Netafarm,oesan,0,1,1,0,1,1
16,16,Netpot 5cm Hitam + Flanel Sumbu Hidroponik ( Set 100pcs ),Barang cepat sampai.. Pekingrapi,Netafarm,barang cepat pekingrapi,1,1,1,1,1,1
34,34,"Molase Tetes Tebu Murni untuk Peternakan, Perikanan dan pertanian - 1kg",Sesuai pesanan datang dgn selamat 👍🏻,Netafarm,sesuai pesan selamat bagus,1,1,1,1,1,1
44,44,Paket EM4 PERTANIAN 1 Liter + MOLASE 1kg Tanah Tanaman,Vvv,Netafarm,vvv,0,1,1,0,1,1
28,28,EM4 Tanaman Pertanian volume 1 liter,Bagus. Barang dtg dg aman.,Netafarm,bagus barang aman,1,1,1,1,1,1
7,7,Pestisida Insektisida LANNATE 25WP 15gram,Bagus,Netafarm,bagus,1,1,1,1,1,1
54,54,Pupuk AB Mix Cair NETAFARM - Sayuran Daun 100ml Stock A dan B Tanaman,Worth The Price,Netafarm,worth price,1,1,1,1,1,1
50,50,Rockwool CULTILENE 1/2 Slab 75x150x500mm,Mantap,Netafarm,mantap,1,1,1,1,1,1
45,45,PUPUK MEROKE VITAFLEX - 500gr,Terimakasih,Netafarm,terimakasih,0,1,1,0,1,1
47,47,Pupuk Meroke MAP - Kemasan 1kg,Terimakasih,Netafarm,terimakasih,0,1,1,0,1,1
